mcz,sex,mass,sl,jl,eye,ao,po,genus,diam,n
164261,M,9.1134,14,25.66,11.267,NA,3.478,Photostomias,0.00211168854192298,69
164327,F,2.265,9.93,17.72,4.295,NA,0.579,Photostomias,0.00156872128301838,70
164809,F,1.1393,7.97,15.52,2.628,NA,0.456,Photostomias,0.00135637188745195,71
131476_2,M,2.2951,8,18.03,9.653,0.097,3.055,Photostomias,0.00157754644705041,72
131476_3,M,3.5203,9.5,18.21,9.761,0.099,2.928,Photostomias,0.00219601511924133,73
131481_2,M,2.3527,9.2,17.82,11.064,0.114,1.028,Photostomias,0.00221209521997735,74
131481_3,M,2.6556,9.4,18.48,9.898,0.058,2.007,Photostomias,0.00215873408863693,75
131488_1,M,3.0128,9.6,17.97,7.955,0.092,2.055,Photostomias,0.00180688302562156,76
131718_5,M,1.7633,8.1,16,7.872,0.074,1.171,Photostomias,0.00196812724798872,77
149514_2,F,3.3463,9.5,19.5,6.851,NA,0.544,Photostomias,0.00162389376239451,78
149515_1,F,0.7043,6.3,12.27,2.145,NA,0.116,Photostomias,0.00113909651059983,79
149515_2,F,0.9484,6.8,13.06,2.314,NA,0.292,Photostomias,0.00107356601982842,80
149516_1,F,0.739,6.41,12.38,2.253,NA,0.162,Photostomias,0.00108587873736109,81
158907_2,F,1.1303,7.2,13.97,2.494,NA,0.233,Photostomias,0.00132996943194733,82
158907_3,M,1.3588,7.41,14.66,3.974,NA,0.544,Photostomias,0.00133898992706868,83
158907_4,M,1.6714,7.9,15.51,4.478,0.048,1.073,Photostomias,0.00155465624005721,84
162266_2,M,2.815,9.45,18.71,10.426,0.059,2.226,Photostomias,0.0020758100976497,85
162268_1,F,1.0108,7.2,14.41,3.828,0.017,0.238,Photostomias,0.00146349177420509,86
162268_2,F,4.58,10.4,19.18,7.7,0.019,0.711,Photostomias,0.00180126508545926,87
164258_2,F,5.781,12.1,21.83,7.678,NA,1.059,Photostomias,0.00137435826197152,88
